City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
305,Merauke,ID,77.27,overcast clouds,-8.4667,140.3333,
306,Lufilufi,WS,87.58,clear sky,-13.8745,-171.5986,Leuaina Beach Resort and Spa
308,Fairbanks,US,79.02,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
309,Bardiyah,LY,75.25,clear sky,31.7561,25.0865,بورتو بردية
310,Celestun,MX,85.23,scattered clouds,20.8667,-90.4,Posada Lilia
312,Eydhafushi,MV,82.09,moderate rain,5.1033,73.0708,Soneva Fushi
320,Araruama,BR,75.15,clear sky,-22.8728,-42.3431,Apartamento Quality
321,Rabaul,PG,80.38,overcast clouds,-4.1967,152.1721,Rabaul Hotel
322,Livramento,BR,83.07,scattered clouds,-3.0254,-60.1803,Refúgio Samauma
323,Brigantine,US,78.03,moderate rain,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
324,Nizhniy Kuranakh,RU,77.41,broken clouds,58.8353,125.4869,Park Pobedy
326,Portland,US,76.33,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
327,Irondequoit,US,79.48,broken clouds,43.2134,-77.5797,Hampton Inn Rochester-Irondequoit
330,Macapa,BR,82.38,broken clouds,0.0389,-51.0664,Atalanta Hotel
336,Ouegoa,NC,77.31,overcast clouds,-20.35,164.4333,
338,Kharagpur,IN,81.72,broken clouds,22.3333,87.3333,Guin Bros Lodge
345,Nouakchott,MR,76.93,clear sky,18.0858,-15.9785,HOTEL IMAN
347,Hurghada,EG,86.68,few clouds,27.2574,33.8129,Sea Star Beau Rivage Hotel
352,Larap,PH,78.13,overcast clouds,14.299,122.6504,Montemayor Cove
353,Norman Wells,CA,85.95,broken clouds,65.282,-126.8329,Heritage Hotel
355,Muroto,JP,78.42,broken clouds,33.2833,134.15,Oota Ryokan
358,Tautira,PF,78.71,broken clouds,-17.7333,-149.15,Pension Oaoa
361,Riyadh,SA,87.94,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
364,Split,HR,82.51,clear sky,43.5089,16.4392,Hotel Vestibul Palace
365,Road Town,VG,84.24,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
366,Broome,US,78.71,overcast clouds,42.2506,-75.833,Chenango Valley State Park
368,Syracuse,IT,81.32,clear sky,37.0881,15.2792,Hotel Posta
369,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
372,Kirakira,SB,83.25,overcast clouds,-10.4544,161.9205,SanBiz Lodge
380,Palmas,BR,80.47,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
385,Kieta,PG,81.91,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
386,La Cruz,MX,86.41,overcast clouds,23.9167,-106.9,Jesús angel
387,Makakilo City,US,82.72,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
393,Lazaro Cardenas,MX,83.19,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
396,San Anselmo,US,80.1,clear sky,37.9747,-122.5616,Four Points by Sheraton San Rafael Marin County
397,Kathu,TH,85.75,light rain,7.9178,98.3332,Novotel Phuket Resort
402,Moindou,NC,75.92,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
405,Beruwala,LK,79.25,overcast clouds,6.4788,79.9828,The Palms Hotel
406,Banda Aceh,ID,80.53,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
407,Nador,MA,77.25,clear sky,35.174,-2.9287,Hôtel La Giralda
412,Faanui,PF,79.7,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
414,Juazeirinho,BR,78.87,overcast clouds,-6.8167,-38.05,Lar dos Batista Queiroga
415,Akyab,MM,80.22,overcast clouds,20.15,92.9,Hotel Memory
419,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
421,Pathein,MM,77.2,overcast clouds,16.7833,94.7333,Pathein Hotel
427,Waddan,LY,82.08,clear sky,29.1614,16.139,محل الشريف محمد العايب
429,Pontes E Lacerda,BR,79.81,clear sky,-15.2261,-59.3353,Hotel Bressan
430,Naze,JP,77.92,scattered clouds,28.3667,129.4833,Shishime Hotel
434,Jalu,LY,80.31,clear sky,29.0331,21.5482,صاحبة الفخامة
435,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
437,Siverek,TR,80.69,clear sky,37.755,39.3167,Mercan Hotel
438,Saint-Georges,GD,78.1,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
442,Jenjarom,MY,80.71,light rain,2.8766,101.4988,ZIDA HOMESTAY
443,Pandan,PH,79.79,overcast clouds,14.0453,124.1694,Bonifacio Lodge
444,Marsh Harbour,BS,83.12,broken clouds,26.5412,-77.0636,Abaco Beach Resort
457,Cobija,BO,84.87,broken clouds,-11.0267,-68.7692,Hotel Obelisco
458,San-Pedro,CI,77.2,broken clouds,4.7485,-6.6363,Hotel Maria
462,Algete,ES,83.62,clear sky,40.5971,-3.4974,Pensión la Imprenta
464,Mandera,KE,78.67,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
468,Lompoc,US,85.69,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
469,Feni,BD,78.89,overcast clouds,23.0186,91.41,"Best Inn Hotel, Restaurant, Convention"
472,Bara,NG,78.04,broken clouds,10.3744,10.7288,
476,Nago,JP,82.83,few clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
477,Katsuura,JP,75.22,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
487,Moundsville,US,83.16,overcast clouds,39.9203,-80.7431,Sleep Inn & Suites
489,Ust-Nera,RU,76.51,overcast clouds,64.5667,143.2,Hotel Ust-Nera
492,Ninh Binh,VN,79.52,overcast clouds,20.2539,105.975,Kinh Do Hotel
497,Buluang,PH,77.05,light rain,13.3068,123.3425,Sacueza Beach Resort
498,Phuket,TH,86.13,light rain,8.0,98.25,The Surin
503,Izumo,JP,78.69,broken clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
504,Boa Vista,BR,76.98,moderate rain,2.8197,-60.6733,Aipana Plaza Hotel
505,Tonantins,BR,80.8,overcast clouds,-2.8731,-67.8022,Hotel Hortensias
509,Pedernales,DO,83.79,clear sky,18.0384,-71.744,Hotel Costa Marina
511,Ishigaki,JP,84.06,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
513,Morgan City,US,83.39,moderate rain,29.6994,-91.2068,Hampton Inn & Suites Morgan City
514,Mbini,GQ,75.9,overcast clouds,1.574,9.6134,
516,Hoi An,VN,84.16,overcast clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
520,Umm Lajj,SA,86.43,clear sky,25.0213,37.2685,Moon light Furnished Units
522,Finschhafen,PG,81.97,overcast clouds,-6.6024,147.8681,Cossam Guest House
523,Picos,BR,75.18,clear sky,-7.0769,-41.4669,Entre Rios Hotel
527,Padang,ID,79.11,broken clouds,-0.9492,100.3543,Mercure Padang
528,Mana,GF,78.46,scattered clouds,5.6592,-53.7767,LE SAMANA
532,Onda,ES,76.89,broken clouds,39.9667,-0.25,Motel Shhh
533,Borogontsy,RU,80.19,clear sky,62.6683,131.1683,
539,Lao Cai,VN,75.97,overcast clouds,22.4833,103.95,Legend Hotel
542,Yanam,IN,78.3,overcast clouds,16.7333,82.2167,The Regency Hotel
544,Lethem,GY,79.83,overcast clouds,3.3803,-59.7968,Savannah Inn
550,Veraval,IN,81.77,very heavy rain,20.9,70.3667,Lords Inn Somnath
551,Cayhagan,PH,78.62,broken clouds,9.6697,122.4256,Melrose Beach Resort
552,Kavaratti,IN,81.7,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
555,Benghazi,LY,79.59,clear sky,32.1167,20.0667,Tibesti Hotel
556,Adrian,US,88.43,scattered clouds,41.8975,-84.0372,"Holiday Inn Express Adrian, an IHG Hotel"
557,Tripoli,LY,80.82,clear sky,32.8752,13.1875,Al Waddan Hotel
559,Buala,SB,82.89,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
561,Marathon,US,85.53,few clouds,44.9,-89.7668,
564,Gasa,PS,77.72,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
565,Rondonopolis,BR,76.28,overcast clouds,-16.4708,-54.6356,Serras Hotel
