City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Ardakan,IR,32.31,54.0175,79.38,23,0,8.93,clear sky
170,Gadung,PH,6.8025,124.02,77.99,81,44,4.0,scattered clouds
171,Tangping,CN,22.0265,111.9323,78.26,94,98,1.07,heavy intensity rain
172,San Carlos De Bariloche,AR,-41.1456,-71.3082,36.25,87,100,17.27,overcast clouds
173,Saldanha,ZA,-33.0117,17.9442,54.09,81,0,3.56,clear sky
174,San Patricio,US,28.017,-97.5169,96.19,48,96,16.87,overcast clouds
175,Tagusao,PH,9.1924,117.8141,79.57,83,91,3.44,overcast clouds
176,Port Elizabeth,ZA,-33.918,25.5701,58.1,85,100,8.21,light rain
177,Nadym,RU,65.5333,72.5167,53.38,82,99,7.7,overcast clouds
178,Asosa,ET,10.0667,34.5333,61.14,87,91,3.94,light rain
179,Souillac,MU,-20.5167,57.5167,68.38,73,40,10.36,light rain
180,Nioro,GM,13.35,-15.75,81.46,72,96,10.31,overcast clouds
181,Pangnirtung,CA,66.1451,-65.7125,46.51,62,93,5.19,overcast clouds
182,Kahramanmaras,TR,38.0,37.0,64.38,40,0,4.9,clear sky
183,Tosya,TR,41.0155,34.0401,56.44,73,0,2.46,clear sky
184,Bambous Virieux,MU,-20.3428,57.7575,68.25,73,40,10.36,light rain
185,Klaksvik,FO,62.2266,-6.589,50.92,96,100,8.32,overcast clouds
186,Kruisfontein,ZA,-34.0033,24.7314,56.88,95,100,8.16,light rain
187,Ixtapa,MX,20.7,-105.2,85.23,74,100,8.05,overcast clouds
188,Tonshayevo,RU,57.736,47.0127,55.22,79,9,5.77,clear sky
189,Luderitz,NA,-26.6481,15.1594,55.71,57,0,11.05,clear sky
190,Cockburn Town,TC,21.4612,-71.1419,81.55,77,3,17.02,clear sky
191,Ludvika,SE,60.1496,15.1878,58.33,73,93,5.68,overcast clouds
192,Vao,NC,-22.6667,167.4833,75.09,68,100,17.9,overcast clouds
193,Nyurba,RU,63.2842,118.3319,54.27,96,100,4.92,overcast clouds
194,Zaragoza,ES,41.6561,-0.8773,79.02,57,0,21.85,clear sky
195,Hundorp,NO,61.5552,9.9407,48.88,80,84,5.59,broken clouds
196,Araguacu,BR,-12.9306,-49.8264,76.93,36,0,2.33,clear sky
197,Katobu,ID,-4.9408,122.5276,72.72,94,100,3.2,overcast clouds
198,Jiaozuo,CN,35.2397,113.2331,74.34,88,10,2.06,clear sky
199,Den Helder,NL,52.9599,4.7593,60.78,69,40,8.05,scattered clouds
200,Namibe,AO,-15.1961,12.1522,65.17,71,0,3.78,clear sky
201,Khatanga,RU,71.9667,102.5,54.41,55,100,4.41,overcast clouds
202,Hobart,AU,-42.8794,147.3294,42.26,94,40,6.91,scattered clouds
203,Andenes,NO,69.3143,16.1194,53.92,87,75,23.02,broken clouds
204,Rawson,AR,-43.3002,-65.1023,51.06,38,19,20.42,few clouds
205,Dubovka,RU,49.0583,44.829,61.75,59,12,7.05,few clouds
206,New Norfolk,AU,-42.7826,147.0587,41.9,91,90,2.19,overcast clouds
207,Jumla,NP,29.2747,82.1838,66.02,91,98,1.1,overcast clouds
208,Olafsvik,IS,64.8945,-23.7142,52.66,73,100,12.59,overcast clouds
209,Ahuimanu,US,21.4447,-157.8378,83.91,82,75,17.27,light rain
210,Paamiut,GL,61.994,-49.6678,41.58,97,100,8.9,light rain
211,Hare Bay,CA,48.8499,-54.0148,69.19,51,61,10.36,broken clouds
212,Juan Lacaze,UY,-34.4342,-57.4381,54.12,87,0,13.06,clear sky
213,Alofi,NU,-19.0595,-169.9187,78.69,61,75,19.57,broken clouds
214,Kiama,AU,-34.6833,150.8667,60.01,90,100,1.99,overcast clouds
215,Espanola,US,35.9911,-106.0806,89.51,31,41,3.0,scattered clouds
216,Isperih,BG,43.7167,26.8333,72.45,41,41,9.48,scattered clouds
217,Sun Prairie,US,43.1836,-89.2137,89.47,71,40,8.05,scattered clouds
218,Sao Felix Do Xingu,BR,-6.6447,-51.995,81.75,47,77,2.26,broken clouds
219,Akdepe,TM,42.0551,59.3788,77.13,28,4,10.22,clear sky
220,Codrington,AU,-38.2667,141.9667,39.65,94,9,8.46,clear sky
221,Nanortalik,GL,60.1432,-45.2371,45.46,88,100,6.24,overcast clouds
222,Turukhansk,RU,65.8167,87.9833,53.49,63,84,2.46,broken clouds
223,Emerald,AU,-23.5333,148.1667,47.34,94,1,6.93,clear sky
224,Yumen,CN,40.2833,97.2,72.95,19,0,6.69,clear sky
225,Saint-Pierre,RE,-21.3393,55.4781,65.91,72,75,8.05,broken clouds
226,Wanning,CN,18.8003,110.3967,80.94,87,100,7.49,overcast clouds
227,San Andres,CO,12.5847,-81.7006,84.22,84,75,12.66,broken clouds
228,Ossora,RU,59.2353,163.0719,58.75,75,100,2.06,overcast clouds
229,Qiongshan,CN,20.0058,110.3542,80.96,87,100,5.88,moderate rain
230,Aljezur,PT,37.3191,-8.8033,63.91,95,20,7.7,few clouds
231,Mareeba,AU,-17.0,145.4333,60.46,89,91,1.74,overcast clouds
232,Hearst,CA,49.6835,-83.6665,64.08,56,89,10.65,overcast clouds
