City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Avarua,CK,2022-07-03 01:35:50,-21.2078,-159.775,80.65,65,40,10.36
116,Sao Filipe,CV,2022-07-03 01:38:42,14.8961,-24.4956,72.91,78,7,12.33
117,Kodiak,US,2022-07-03 01:38:42,57.79,-152.4072,54.91,88,100,13.8
118,Waingapu,ID,2022-07-03 01:38:42,-9.6567,120.2641,82.08,77,100,15.12
119,Westport,US,2022-07-03 01:38:43,41.1415,-73.3579,78.19,89,0,4.61
120,Gewane,ET,2022-07-03 01:38:43,10.1664,40.6453,85.51,41,100,10.25
121,Mahebourg,MU,2022-07-03 01:38:44,-20.4081,57.7,71.26,73,40,14.97
122,Kaitangata,NZ,2022-07-03 01:38:44,-46.2817,169.8464,53.73,64,11,10.38
123,Phuket,TH,2022-07-03 01:38:45,8.0,98.25,86.09,89,20,2.3
124,Vanino,RU,2022-07-03 01:38:45,49.0869,140.2543,64.94,98,100,2.55
125,Altamont,US,2022-07-03 01:38:46,42.2068,-121.7372,69.89,38,40,20.71
126,Ixtapa,MX,2022-07-03 01:38:46,20.7,-105.2,81.63,83,100,5.75
127,Cabo San Lucas,MX,2022-07-03 01:38:42,22.8909,-109.9124,88.9,51,0,11.5
128,Kunming,CN,2022-07-03 01:38:24,25.0389,102.7183,66.13,88,40,4.47
129,Ippy,CF,2022-07-03 01:38:47,6.2679,21.2247,64.47,89,100,2.73
130,Ewa Beach,US,2022-07-03 01:38:48,21.3156,-158.0072,85.95,55,75,21.85
131,Tairua,NZ,2022-07-03 01:38:48,-37.0167,175.85,58.96,60,9,8.5
132,Bolshaya Glushitsa,RU,2022-07-03 01:38:49,50.2406,43.5908,54.21,93,9,11.32
133,Georgetown,MY,2022-07-03 01:38:49,5.4112,100.3354,85.95,82,20,8.05
134,Prachatice,CZ,2022-07-03 01:39:20,49.0129,13.9975,58.08,93,7,3.4
135,Khatanga,RU,2022-07-03 01:39:20,71.9667,102.5,49.46,78,100,15.79
136,Rockland,US,2022-07-03 01:39:21,41.1668,-74.0496,81.23,78,21,2.82
137,Plouzane,FR,2022-07-03 01:39:21,48.3833,-4.6167,55.45,97,75,6.91
